Date,Observed_Max_F,Normal_Max_F,Deviation_F,MA7_Deviation
2024-07-27,73,76,-3,
2024-07-28,74,76,-2,
2024-07-29,72,76,-4,
2024-07-30,71,76,-5,
2024-07-31,71,76,-5,
2024-08-01,71,76,-5,
2024-08-02,76,76,0,-3.4285714285714284
2024-08-03,75,76,-1,-3.142857142857143
2024-08-04,73,76,-3,-3.2857142857142856
2024-08-05,77,76,1,-2.5714285714285716
2024-08-06,80,76,4,-1.2857142857142858
2024-08-07,82,76,6,0.2857142857142857
2024-08-08,77,76,1,1.1428571428571428
2024-08-09,75,76,-1,1.0
2024-08-10,80,76,4,1.7142857142857142
2024-08-11,78,76,2,2.4285714285714284
2024-08-12,76,76,0,2.2857142857142856
2024-08-13,78,76,2,2.0
2024-08-14,77,77,0,1.1428571428571428
2024-08-15,78,77,1,1.1428571428571428
2024-08-16,82,77,5,2.0
2024-08-17,77,77,0,1.4285714285714286
2024-08-18,76,77,-1,1.0
2024-08-19,79,77,2,1.2857142857142858
2024-08-20,82,77,5,1.7142857142857142
2024-08-21,84,77,7,2.7142857142857144
2024-08-22,77,77,0,2.5714285714285716
2024-08-23,77,77,0,1.8571428571428572
2024-08-24,76,77,-1,1.7142857142857142
2024-08-25,78,77,1,2.0
2024-08-26,79,77,2,2.0
2024-08-27,73,77,-4,0.7142857142857143
2024-08-28,73,77,-4,-0.8571428571428571
2024-08-29,74,77,-3,-1.2857142857142858
2024-08-30,72,77,-5,-2.0
2024-08-31,75,77,-2,-2.142857142857143
2024-09-01,77,77,0,-2.2857142857142856
2024-09-02,77,77,0,-2.5714285714285716
2024-09-03,77,77,0,-2.0
2024-09-04,80,77,3,-1.0
2024-09-05,87,77,10,0.8571428571428571
2024-09-06,102,77,25,5.142857142857143
2024-09-07,89,77,12,7.142857142857143
2024-09-08,92,77,15,9.285714285714286
2024-09-09,87,77,10,10.714285714285714
2024-09-10,75,77,-2,10.428571428571429
2024-09-11,75,77,-2,9.714285714285714
2024-09-12,75,77,-2,8.0
2024-09-13,76,77,-1,4.285714285714286
2024-09-14,77,77,0,2.5714285714285716
2024-09-15,73,77,-4,-0.14285714285714285
2024-09-16,71,77,-6,-2.4285714285714284
2024-09-17,72,76,-4,-2.7142857142857144
2024-09-18,72,76,-4,-3.0
2024-09-19,71,76,-5,-3.4285714285714284
2024-09-20,70,76,-6,-4.142857142857143
2024-09-21,73,76,-3,-4.571428571428571
2024-09-22,70,76,-6,-4.857142857142857
2024-09-23,68,76,-8,-5.142857142857143
2024-09-24,69,76,-7,-5.571428571428571
2024-09-25,67,76,-9,-6.285714285714286
2024-09-26,70,76,-6,-6.428571428571429
2024-09-27,67,76,-9,-6.857142857142857
2024-09-28,67,75,-8,-7.571428571428571
2024-09-29,69,75,-6,-7.571428571428571
2024-09-30,72,75,-3,-6.857142857142857
2024-10-01,71,75,-4,-6.428571428571429
2024-10-02,71,75,-4,-5.714285714285714
2024-10-03,78,75,3,-4.428571428571429
2024-10-04,82,75,7,-2.142857142857143
2024-10-05,70,75,-5,-1.7142857142857142
2024-10-06,70,75,-5,-1.5714285714285714
2024-10-07,69,75,-6,-2.0
2024-10-08,69,75,-6,-2.2857142857142856
2024-10-09,69,75,-6,-2.5714285714285716
2024-10-10,71,75,-4,-3.5714285714285716
2024-10-11,69,75,-6,-5.428571428571429
2024-10-12,70,74,-4,-5.285714285714286
2024-10-13,72,74,-2,-4.857142857142857
2024-10-14,72,74,-2,-4.285714285714286
2024-10-15,71,74,-3,-3.857142857142857
2024-10-16,67,74,-7,-4.0
2024-10-17,70,74,-4,-4.0
2024-10-18,84,74,10,-1.7142857142857142
2024-10-19,79,74,5,-0.42857142857142855
2024-10-20,80,74,6,0.7142857142857143
2024-10-21,75,74,1,1.1428571428571428
2024-10-22,77,74,3,2.0
2024-10-23,77,74,3,3.4285714285714284
